Identifiant station;Code postal;Adresse;Opérateurs;Motorisation;Etat fonctionnel;URL Opérateur;Complément adresse;Nombre de places réservées;geo_shape;geo_point_2d
15-T035;75010;24 RUE DU TERRAGE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3620095001798282, 48.877767000196265], ""type"": ""Point""}";48.877767000196265,2.3620095001798282
15-T044;75011;2 RUE DES BOULETS;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.39181749961362, 48.849281999797036], ""type"": ""Point""}";48.849281999797036,2.39181749961362
15-T058;75013;4 RUE NATIONALE;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.369308500225606, 48.82210200018062], ""type"": ""Point""}";48.82210200018062,2.369308500225606
15-T067;75014;12 RUE PIERRE CASTAGNOU;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.325919499956943, 48.83274900035458], ""type"": ""Point""}";48.83274900035458,2.325919499956943
15-T087;75017;267 BOULEVARD PEREIRE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.285401500044299, 48.87827100043446], ""type"": ""Point""}";48.87827100043446,2.285401500044299
18-T048;75013;19 RUE DU DOCTEUR LERAY;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3539230001229368, 48.823424999593605], ""type"": ""Point""}";48.823424999593605,2.3539230001229368
18-T069;75007;34 AVENUE DE LA MOTTE PICQUET;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3066730006229785, 48.85528500022794], ""type"": ""Point""}";48.85528500022794,2.3066730006229785
18-T093;75017;5 RUE GANNERON;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3267609994548173, 48.886136999918385], ""type"": ""Point""}";48.886136999918385,2.3267609994548173
18-T117;75018;61 RUE ORDENER;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3509619994732804, 48.89120399990348], ""type"": ""Point""}";48.89120399990348,2.3509619994732804
18-T131;75019;38 AVENUE SECRETAN;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.372714999329105, 48.88134900009353], ""type"": ""Point""}";48.88134900009353,2.372714999329105
18-T138;75020;32 RUE DE BAGNOLET;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.397505499622732, 48.85682399964104], ""type"": ""Point""}";48.85682399964104,2.397505499622732
18-T141;75020;269 RUE DE BELLEVILLE;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.399967000171984, 48.87580499981282], ""type"": ""Point""}";48.87580499981282,2.399967000171984
E-026;75008;113 BOULEVARD MALESHERBES;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.3128649999275326, 48.880341000058145], ""type"": ""Point""}";48.880341000058145,2.3128649999275326
E-036;75010;6 RUE LOUIS BLANC;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.369254500577874, 48.87895499987573], ""type"": ""Point""}";48.87895499987573,2.369254500577874
U-011;75007;81 AVENUE BOSQUET;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;6;"{""coordinates"": [2.305480499649387, 48.855239999603974], ""type"": ""Point""}";48.855239999603974,2.305480499649387
U-023;75011;2 AVENUE PARMENTIER;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.379987000177737, 48.85880399973547], ""type"": ""Point""}";48.85880399973547,2.379987000177737
