_id;anno_rilevamento_reato;Reati_denunciati_tipologia;reati_denunciati
635;2009;Sfruttamento e favoreggiamento della prostituzione;74
636;2009;Pornografia minorile e detenzione di materiale pedopornografico;34
637;2009;Furti;87674
638;2009;furti con strappo;1059
639;2009;Furti  con destrezza;19210
640;2009;Furti  in abitazioni;4694
641;2009;Furti  in esercizi commerciali;5396
642;2009;Furti  in auto in sosta;14346
643;2009;Furti  di opere d'arte e materiale archeologico;21
644;2009;Furti di automezzi pesanti trasportanti merci;46
645;2009;Furti di ciclomotori;2027
646;2009;Furti di motocicli;3470
647;2009;Furti di autovetture;8684
648;2009;Rapine totale;2523
649;2009;Rapine in abitazione;89
650;2009;Rapine in banca;126
651;2009;Rapine in uffici postali;13
652;2009;Rapine in esercizi commerciali;352
653;2009;Rapine in pubblica via;1417
654;2009;Estorsioni ;187
655;2009;Truffe e frodi informatiche ;3975
656;2009;Delitti informatici;257
657;2009;Contraffazione di marchi e prodotti industriali;31
658;2009;Violazione della proprieta' intellettuale;59
659;2009;Ricettazione ;1112
660;2009;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;34
661;2009;Usura ;16
662;2009;Danneggiamenti ;23144
663;2009;Incendi totale;155
664;2009;Incendi boschivi;0
665;2009;Danneggiamento seguito da incendio ;121
666;2009;Normativa sugli stupefacenti ;1537
667;2009;Attentati ;11
668;2009;Associazione per delinquere ;19
669;2009;Associazione di tipo mafioso ;1
670;2009;Contrabbando;11
671;2009;Altri delitti;21033
672;2009;Reati totale;149296
673;2008;Strage ;0
674;2008;Omicidi volontari totale;20
675;2008;Omicidi a scopo di furto o rapina;0
676;2008;Omicidi di tipo mafioso;0
677;2008;Omicidi a scopo terroristico;0
678;2008;Tentati omicidi ;63
679;2008;Infanticidi;0
680;2008;Omicidi preterintenzionali ;1
681;2008;Omicidi colposi totale;56
682;2008;Omicidi colposi  da incidente stradale;54
683;2008;Percosse ;605
684;2008;Lesioni dolose ;2422
685;2008;Minacce ;2426
686;2008;Sequestri di persona ;90
687;2008;Ingiurie ;1487
688;2008;Violenze sessuali ;291
689;2008;Atti sessuali con minorenne ;28
690;2008;Corruzione di minorenne ;2
691;2008;Sfruttamento e favoreggiamento della prostituzione;78
692;2008;Pornografia minorile e detenzione di materiale pedopornografico;21
693;2008;Furti;90986
694;2008;furti con strappo;1294
695;2008;Furti  con destrezza;20192
696;2008;Furti  in abitazioni;5082
697;2008;Furti  in esercizi commerciali;5612
698;2008;Furti  in auto in sosta;16026
699;2008;Furti  di opere d'arte e materiale archeologico;21
700;2008;Furti di automezzi pesanti trasportanti merci;56
701;2008;Furti di ciclomotori;1886
702;2008;Furti di motocicli;3343
703;2008;Furti di autovetture;10168
704;2008;Rapine totale;3372
705;2008;Rapine in abitazione;127
706;2008;Rapine in banca;163
707;2008;Rapine in uffici postali;16
708;2008;Rapine in esercizi commerciali;487
709;2008;Rapine in pubblica via;1842
710;2008;Estorsioni ;224
711;2008;Truffe e frodi informatiche ;4842
712;2008;Delitti informatici;240
713;2008;Contraffazione di marchi e prodotti industriali;31
714;2008;Violazione della proprieta' intellettuale;123
715;2008;Ricettazione ;1240
716;2008;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;37
717;2008;Usura ;13
718;2008;Danneggiamenti ;22661
719;2008;Incendi totale;182
720;2008;Incendi boschivi;0
721;2008;Danneggiamento seguito da incendio ;163
722;2008;Normativa sugli stupefacenti ;1604
723;2008;Attentati ;18
724;2008;Associazione per delinquere ;21
725;2008;Associazione di tipo mafioso ;1
726;2008;Contrabbando;8
727;2008;Altri delitti;23141
728;2008;Reati totale;156497
729;2007;Strage ;0
730;2007;Omicidi volontari totale;22
731;2007;Omicidi a scopo di furto o rapina;3
